21 -22.987138 -43.262415 0.3647409794164964 4.319628686707366 1.0850029899524536 3.3266897783073714  198 2.412 117 2.515 221 2.114 7 2.506 100 2.510
22 -22.906331 -43.454100 0.007506979795229067 5.704056071462502 0.061390281301807806 3.4617154264189303  212 2.517 143 2.413 160 2.518 147 2.414 89 2.505 191 2.506
23 -22.844466 -43.323533 0.5199760391563605 0.05365498013354835 5.111047985516833 7.179074554666786  211 2.508 213 2.518 84 2.416 47 2.415 132 2.507 6 2.518
24 -22.841666 -43.578679 0.0 2.97094748919349 0.025756510664546973 0.7658925692422391  56 2.021 40 2.067
25 -22.853703 -43.388291 2.263120245732552 1.7233355529035466 1.5899134307304834 1.550192720579823  31 2.507 174 2.507 146 2.415 219 2.518 133 2.518 222 2.415
26 -22.851558 -43.474326 1.2917376540204535 0.9790666596965664 3.025163189222657 2.702954014886399  13 2.499 106 2.519 4 2.408 168 2.518
27 -22.891527 -43.604315 0.1408384104617471 0.8644791790470285 4.277046857531577 3.218455498497872  34 2.392 43 2.505 139 2.518 155 2.505 77 2.414 141 2.518
28 -22.919986 -43.755575 3.5771775191952253 2.1925508772321516 0.0 0.9210732986010598  12 2.470 144 2.503 185 2.329 105 2.131 88 2.518
29 -22.850378 -43.517273 0.09241949067898737 4.311200134166925 1.0766328265324452 2.3785321937499844  13 2.519 110 2.519 177 2.232 70 2.415 168 2.506 11 2.506
30 -22.971418 -43.455681 0.11942227952221175 5.286296676591194 0.3459610832356044 0.8782272248102778  125 2.412 44 2.516 1 2.504 163 2.411 135 2.505 98 2.516
31 -22.843387 -43.366531 1.486356961829702 0.1248091655991213 4.01438704194383 6.412296388101116  213 2.507 186 2.416 146 2.518 132 2.518 133 2.415 25 2.507
32 -23.022809 -43.564506 0.18272464678009395 5.171499679815939 0.37459786432126774 0.37782465423148526  2 2.516 17 2.502 162 2.503 118 2.516 41 2.410 99 2.410
33 -22.942692 -43.304381 0.0 5.768774274771141 0.0031110014416245 1.0383919149897771  142 2.516 188 2.506 148 2.413 149 2.412 166 2.506 195 2.516
34 -22.870019 -43.603693 1.2443526256575808 3.60981794436771 0.41212286300606776 1.4367608116648025  43 2.499 56 2.536 27 2.392 141 2.503
35 -23.004497 -43.434969 1.1563641442376031 1.5021658650318754 2.3064069754973726 1.4508036546548497  44 2.411 16 2.503 87 2.504 39 2.205 163 2.516
36 -22.892670 -43.561324 0.6138843992154345 0.6760644729386414 4.358162279162409 1.4621350340620598  43 2.518 79 2.505 49 2.414 182 2.518 209 2.414 139 2.505
37 -22.923504 -43.626609 0.2378178053179396 1.054684489043588 4.293946610870445 2.367214594101884  127 2.413 54 2.504 62 2.518 136 2.518 155 2.413 77 2.504
38 -22.978307 -43.606442 0.0 4.056604658381387 0.8420779253294308 0.4177139090805386  66 2.412 46 2.411 215 2.517 187 2.503 58 2.517 179 2.503
39 -23.011543 -43.414824 0.3664682734129861 2.1915698362218587 0.5297816879156688 0.7749874243156549  35 2.205 87 1.934 122 2.453
40 -22.849247 -43.560263 0.220575122648735 4.778313674141657 0.5290539303886895 1.4627718059573465  56 2.477 49 2.415 24 2.067 110 2.506 11 2.519
41 -23.044479 -43.565037 0.0 5.429516040413754 0.28031890658547703 0.3977074070033516  32 2.410 2 2.502 103 2.268 17 2.516 225 2.142
42 -22.910909 -43.690827 0.6781318661286645 1.3444757940561938 3.4840218632780675 0.9212468295188108  173 2.503 69 2.413 150 2.518 193 2.413 208 2.504 170 2.518
43 -22.881247 -43.582554 0.2545702771940719 0.6956930099297058 4.461831337320599 1.465605993249137  34 2.499 56 2.405 49 2.505 36 2.518 27 2.505 139 2.414
44 -22.982815 -43.434442 0.31447103768916906 4.485666276003995 0.6724540743483988 0.5968588565270864  35 2.411 67 2.504 87 2.516 163 2.504 135 2.412 30 2.516
45 -22.930227 -43.368626 0.8008785253111825 0.27561891773867514 4.551223898337516 4.3849537096664415  15 2.413 202 2.517 94 2.413 194 2.517 60 2.506 223 2.506
46 -22.999988 -43.606974 0.11981847121288744 4.698093305644977 0.8323681317175677 0.417622395953736  129 2.289 38 2.411 58 2.503 118 2.516 179 2.517
47 -22.866185 -43.324056 0.13835686489303858 1.7581242585011898 3.857111262414893 6.095854283630934  50 2.415 207 2.518 132 2.518 6 2.507 164 2.507 23 2.415
48 -23.006754 -43.305904 0.6055933275549626 1.8387465771505056 2.6923428002659633 1.3049232684374075  171 2.465 134 2.300 100 2.446
49 -22.870962 -43.560793 1.1114579318906284 1.001470664733176 3.2714356288268167 1.4624535715142215  43 2.505 79 2.518 56 2.480 36 2.414 40 2.415 11 2.506
50 -22.887898 -43.324578 0.6176326955124005 0.8573207083986928 4.290734152479726 5.123125777366695  47 2.415 164 2.517 207 2.507 71 2.517 76 2.414 154 2.507
51 -22.950832 -43.412152 0.4072626705954609 5.317523805528559 0.0458922013123655 1.1563429236066465  78 2.517 67 2.412 60 2.505 135 2.505 73 2.516 184 2.413
52 -22.847657 -43.239005 1.748726923809075 0.4316691728562234 1.4646855370761829 4.273766604548693  115 2.554 217 2.320 165 2.771 183 2.322
53 -23.042175 -43.607965 0.040766085485588285 5.075506568065692 0.0 0.36181251154800476  129 2.428 17 2.439
54 -22.933773 -43.648371 0.2967947730395313 2.111327674907197 2.8333855779092434 0.9887127936163234  127 2.518 37 2.504 136 2.413 96 2.503 210 2.412 170 2.518
55 -23.023860 -43.478600 0.3382125084437697 1.2145861968402352 3.15015789516361 1.2243949073907516  16 2.454 57 2.442 19 2.277 153 2.589
56 -22.859633 -43.581648 1.3435582131231116 3.6137207249308587 0.3687099671880385 1.4025115585638868  43 2.405 34 2.536 49 2.480 40 2.477 24 2.021
57 -23.013667 -43.499738 0.06159744518199997 3.6101992414009563 1.0659213708051074 0.6321350213034741  55 2.442 19 2.503 59 2.516 153 2.136 10 2.503 9 2.411
58 -22.989722 -43.585210 0.32238836795390025 4.176307344687049 1.0786088497084663 0.4176782452359307  187 2.411 85 2.503 46 2.503 38 2.517 118 2.411 99 2.516
59 -23.002266 -43.520975 0.045008982696676435 5.249750333109909 0.35763220852410194 0.35149346794887704  57 2.516 175 2.516 162 2.503 218 2.411 9 2.503 10 2.411
60 -22.940532 -43.390389 0.6615594710238016 1.735753097356922 2.7136803436345684 2.2016067342908148  45 2.506 202 2.413 94 2.516 73 2.412 51 2.505 184 2.517
61 -22.907434 -43.411102 0.10508998856005893 4.357940504267459 1.2583828398670447 2.924204531756587  212 2.506 178 2.414 91 2.506 202 2.517 191 2.517 184 2.413
