0 0 16 44 0 0 1
0 0 16 56 2 0 1
0 0 16 58 2 0 2
0 0 16 76 1 0 1
0 0 16 76 2 0 2
0 0 16 76 2 1 1
0 0 17 48 2 0 1
0 0 17 65 0 0 1
0 0 17 65 1 0 1
0 0 17 72 1 0 2
0 0 17 76 0 0 1
0 0 17 76 1 0 2
0 0 17 76 2 0 1
0 0 18 30 1 0 1
0 0 18 30 2 0 1
0 0 18 49 2 0 1
0 0 18 76 1 0 1
0 0 18 76 2 0 3
0 0 18 76 2 1 2
0 0 19 23 2 0 1
0 0 19 40 0 0 1
0 0 19 49 2 0 1
0 0 19 50 1 0 1
0 0 19 59 0 0 1
0 0 20 21 2 0 1
0 0 20 44 2 0 1
0 0 20 48 2 0 1
0 0 20 59 2 0 1
0 0 20 65 2 0 1
0 0 20 66 2 0 1
0 0 20 76 1 0 3
0 0 20 76 1 1 1
0 0 21 49 2 0 1
0 0 21 56 1 0 1
0 0 21 65 1 0 1
0 0 21 76 1 0 2
0 0 21 76 1 1 1
0 0 21 76 2 0 5
0 0 21 76 2 1 2
0 0 22 48 2 0 1
0 0 22 58 2 0 3
0 0 22 58 2 1 1
0 0 22 72 2 0 1
0 0 22 76 0 0 1
0 0 22 76 2 0 1
0 0 23 38 0 0 1
0 0 23 46 0 0 2
0 0 23 48 0 0 1
0 0 23 48 2 0 1
0 0 23 50 2 0 2
0 0 23 50 2 1 1
0 0 23 56 0 0 1
0 0 23 58 1 0 1
0 0 23 65 2 0 1
0 0 23 76 1 0 1
0 0 24 27 2 0 2
0 0 24 47 2 0 1
0 0 24 49 2 0 1
0 0 24 64 0 0 2
0 0 24 64 0 1 1
0 0 24 70 0 0 1
0 0 25 49 1 0 1
0 0 25 54 2 0 1
0 0 25 76 1 0 1
0 0 26 9 0 0 1
0 0 26 35 2 0 1
0 0 26 40 0 0 1
0 0 26 40 1 0 1
0 0 26 49 1 0 1
0 0 26 55 2 0 1
0 0 26 58 2 0 1
0 0 26 64 0 0 1
0 0 26 64 1 0 1
0 0 26 76 1 0 1
